연번,구별,해당동,경로당 명칭,소재지,부지(㎡),건물(㎡),남성등록회원수,여성등록회원수,전화번호,비 고
66,동구,자양동,자양중앙,백룡로21번길 8-1(자양동),121.5,113,36,0,625-0508,
67,동구,가양1동,가양1동제1(남),합내로 7-6(가양동),262,143,37,,672-2373,
68,동구,가양1동,가양1동제1(여),합내로 7-6(가양동),262,143,0,66,625-3190,
69,동구,가양1동,갱이,가양남로13번길 57(가양동),322,178,0,28,623-7767,
70,동구,가양1동,동부,가양남로13번길 57(가양동),322,178,44,0,673-8580,
71,동구,가양1동,매봉(남),가양로132번길 26(가양동),"1,645.30",35,38,0,673-3638,
72,동구,가양1동,매봉(여),가양로132번길 26(가양동),"1,645.30",45,0,45,625-4617,
73,동구,가양1동,아침마을(아),"우암로 192, 109동 1층,아침마을(아)(가양동)",121.07,121,27,28,625-0003,
74,동구,가양1동,우송,갱이4길 14(가양동),212.8,131,26,32,672-5907,
75,동구,가양2동,가양2동,우암로311번길 30-5(가양동),264.2,219,16,38,624-9091,
76,동구,가양2동,내흥룡,우암로 374(가양동),208,186,20,35,621-4885,
77,동구,가양2동,대주파크빌(아),"충정로 136, 대주파크빌(아)(가양동)",146.35,146,20,28,624-5171,
78,동구,가양2동,더퍼리,충정로48번길 21(가양동),163.7,86,28,30,635-0945,
79,동구,가양2동,신도,비래서로42번길 51(가양동),"1,652.90",83,36,0,633-0004,
80,동구,가양2동,학수(여),비래서로42번길 51(가양동),"1,652.90",83,0,32,624-3010,
81,동구,용전동,새피앙(아),"홍도로46번길 20,새피앙(아)(용전동)",50,50,10,22,636-0030,
82,동구,용전동,신동아(아),"한밭대로1237번길 52,신동아(아)(용전동)",116,116,13,40,673-8388,
83,동구,용전동,용일,계족로437번길 32(용전동),"1,377.20",127,10,15,631-6132,
84,동구,용전동,용전동,계족로483번길 27(용전동),222.8,168,11,14,622-4184,
85,동구,용전동,용정,계족로446번길 19(용전동),"1,396.40",99,10,35,625-9201,
86,동구,용전동,큰솔(아),"계족로512번길 42,큰솔(아)(용전동)",26.9,26.9,7,14,624-3444,
87,동구,용전동,푸른(아),"계족로512번길 96,푸른(아)(용전동)",59.5,60,14,11,672-1137,
88,동구,용전동,한숲(아),"계족로489번길 73,한숲(아)(용전동)",157,157,9,21,625-1877,
89,동구,용전동,용원,계족로489번길 22-19(용전동),195.3,192.23,0,32,625-8600,
90,동구,성남동,만수,성남로 10-16(성남동),342,96,31,0,636-3155,
91,동구,성남동,석촌마을(아),"우암로 186,석촌마을(아)(성남동)",94,94.25,22,35,636-6649,
92,동구,성남동,성남동,성남로32번안길 3(성남동),99.69,53.18,31,0,623-9541,
93,동구,성남동,성남동신설,동서대로1678번길 17(성남동),"1,564.00",132,45,0,673-7520,
94,동구,성남동,성남동(여),계족로362번길 18(성남동),85,30.42,0,40,631-6131,
95,동구,성남동,성남동제1,계족로358번길 68(성남동),161,101,29,51,624-6029,
96,동구,성남동,스마트뷰(아),"성남로 15, 스마트뷰(아) 106동 1층(성남동)",214.3,214,32,47,631-9176,
97,동구,성남동,우향(여),성남로 10-16(성남동),342,96,0,60,621-0085,
98,동구,성남동,진등,동서대로1678번길 17(성남동),"1,564.00",43,0,40,638-1616,
99,동구,성남동,효촌마을(아),"계족로368번길 11,효촌마을(아)(성남동)",128.5,128.49,8,46,625-8886,
100,동구,홍도동,동산,옛신탄진로81번길 20(홍도동),690,80,45,16,632-3720,
101,동구,홍도동,동산리,홍도로39번길 21(홍도동),93,87.53,27,0,632-2855,
102,동구,홍도동,청룡(아),"동산초교로22번길 17,청룡(아)(홍도동)",61.23,61.23,0,42,636-8666,
103,동구,홍도동,파밀리에(아),"동산초교로 46,파밀리에(아)(홍도동)",101.23,101.23,8,17,639-8223,
104,동구,홍도동,현암(아),"대전로994번길 75, 현암(아)(홍도동)",181.3,75.06,0,25,638-5241,
105,동구,홍도동,홍도(아),"동서대로 1579,홍도(아)(홍도동)",148.71,148.71,0,25,638-4620,
106,동구,홍도동,홍도동제1,동산초교로45번길 20-15(홍도동),157,135.63,34,10,622-5752,
107,동구,홍도동,홍돗골,홍도로43번길 40(홍도동),170,35,0,35,624-8886,
108,동구,삼성동,검배,동서대로1520번길 6(삼성동),162.3,110,50,0,627-3004,
109,동구,삼성동,삼성동제1,대전천동로 681(삼성동),896.5,284,28,17,624-1799,
110,동구,삼성동,삼성동사랑방,현암로30번길 27(삼성동),174.7,145,31,0,672-9045,
111,동구,삼성동,삼성타운1단지(아),"우암로 133,삼성타운1단지(아)(삼성동)",58,58,10,12,622-4821,
112,동구,삼성동,삼성타운2단지(아),"우암로 133-1,삼성타운2단지(아)(삼성동)",58,58,27,13,639-5102,
113,동구,삼성동,솔랑마을(아),"대전로 968,솔랑마을(아)(삼성동)",103,103,14,23,628-8886,
114,동구,삼성동,전우,대전로 861(삼성동),125,80.91,33,0,634-4529,
115,동구,삼성동,한밭자이(아),"대전로 935,한밭자이(아)(삼성동)",159.09,159,17,23,623-4422,
116,동구,삼성동,현암,"태전로153번길 36, 현암(아)(삼성동)",120.3,61,28,26,673-6022,
117,동구,대청동,가래울,대청호수로585번길 37(추동),197.68,99,18,20,274-4770,
118,동구,대청동,마산동,대청호수로 719-16(마산동),200,145,19,17,274-1105,
119,동구,대청동,묘곡,회남로 113(신하동),194,108,11,18,274-8668,
120,동구,대청동,비룡,대청호수로 59-10(비룡동),165,98,18,25,273-2944,
121,동구,대청동,비룡2통,비룡로 13(비룡동),297,133,23,24,273-7881,
122,동구,대청동,사성,회남로 468(사성동),98,130,15,30,273-1052,
123,동구,대청동,삼곡,세천공원로 69(세천동),335,160,18,34,273-0844,
124,동구,대청동,세천,옥천로 616-8(세천동),132,77,37,43,273-6186,
125,동구,대청동,신상동,옥천로653번길 212-4(신상동),200,100,13,24,273-3133,
126,동구,대청동,아감,신상로647번길 75-19(신상동),191.22,91,10,15,274-7501,
127,동구,대청동,신하,회남로 276-2(신하동),446,107,8,23,274-8600,
128,동구,대청동,주산,대청호수로337번길 49(주산동),298,154,28,28,274-9844,
129,동구,대청동,주촌,회남로1085번길 19(오동),545,93,14,13,274-5249,
130,동구,대청동,직동,냉천로 703(직동),579,104,9,25,273-2550,
131,동구,대청동,추동,천개동로 34(추동),201.02,99,15,15,274-5741,
132,동구,대청동,효평동,천개동로 451(효평동),199.2,92,16,27,273-1242,
133,동구,대청동,효평동소들,대청호수로 1119(효평동),260,90,10,22,273-1170,
134,동구,산내동,공주말,산내로929번길 15-5(삼괴동),178.33,66.11,26,39,274-7345,
135,동구,산내동,남대전이편한세상(아),"산내로 1330, 남대전e편한세상(아)(낭월동)",147.32,147,19,14,321-0185,
136,동구,산내동,낭월석천들(아),"산내로1257번길 40, 낭월석천들(아)(낭월동)",85.05,85,27,32,272-1116,
137,동구,산내동,낭월동제1,산내로 1314-6(낭월동),442,107,31,24,271-9830,
138,동구,산내동,낭월동제2,산내로 1362-6(낭월동),288,86,27,32,271-9168,
139,동구,산내동,대별동,대별로 25-16(대별동),627,60,27,0,272-9365,
140,동구,산내동,대별동(여),산서로 1604(대별동),228,78.94,0,39,271-8876,
141,동구,산내동,대성동,대전로316번길 19(대성동),558,168,20,30,283-0937,
142,동구,산내동,산내주공(아),"산내로 1352-25, 산내주공(아)(낭월동)",408.6,103.4,40,71,274-1093,
143,동구,산내동,삼괴동제2,산내로998번길 14-13(삼괴동),239.7,114,23,26,272-3172,
144,동구,산내동,삼익세라믹(아),"대전로340번길 20, 삼익세라믹(아)(대성동)",97.08,97,26,35,272-2861,
145,동구,산내동,상소곡남,산내로574번길 38(상소동),165,91,14,22,274-5283,
146,동구,산내동,상소동(남),산내로 505-5(상소동),"1,266.00",99,28,0,274-3439,
147,동구,산내동,상소제2(여),산내로499번길 39(상소동),383,67,0,47,273-3438,
148,동구,산내동,소룡골,산내로835번길 258-6(삼괴동),440,69,15,21,274-7717,
149,동구,산내동,소호동제1,산서로1374번길 41-5(소호동),323.3,131,14,20,274-0056,
150,동구,산내동,소호동제2,산서로1205번길 9(소호동),265,98,10,12,272-7208,
151,동구,산내동,오투그란데(아),"산내로 1375, 오투그란데(아)(낭월동)",109.37,109,15,19,282-0304,
152,동구,산내동,은어송마을2단지(아),"동구청로 35, 은어송마을2단지(아)(대성동)",204.95,205,9,17,282-8277,
153,동구,산내동,이사동제1,이사로 204(이사동),253,57,17,30,273-5333,
154,동구,산내동,이사동제2,이사로 90-19(이사동),504,157,24,27,272-3492,
155,동구,산내동,장척동,산서로1092번길 7(장척동),200,85.71,9,12,285-5544,
156,동구,산내동,하소동제1,산내로386번길 7-4(하소동),575,98.4,18,12,273-8047,
157,동구,산내동,하소동제2,산내로 284(하소동),331,49.58,14,16,,
158,동구,산내동,하소동제3,산내로 433-8(하소동),286,67.96,8,22,273-0778,
159,동구,산내동,구도동,산내로 1220-8(구도동),493,51,10,11,,
160,동구,산내동,삼괴19통,산내로835번길 382(삼괴동),370,114.87,11,9,274-7717,
161,중구,은행선화동,은행경로당,중구 목척6길 14 (은행동),435.1,190.68,22,20,252-3755,
162,중구,은행선화동,선화1경로당,중구 선화서로29번길 28 (선화동),220.9,100.59,3,47,221-5558,
163,중구,은행선화동,선화2경로당,중구 우암로 14 (선화동),167.9,265.6,16,29,221-0406,
164,중구,은행선화동,선화3경로당,중구 선화로97번길 29-3 (선화동),105.1,126.44,35,41,257-8870,
165,중구,은행선화동,선호(아)경로당,중구 대종로 583 (선화동),38.2,38.2,6,28,255-2312,
166,중구,은행선화동,현대(아)경로당,"중구 보문로 341, 101동 107호 (선화동,현대아파트)",53.14,107.6,15,39,070-8125-8756,
167,중구,은행선화동,푸른경로당,중구 동서대로1440번길 34 (선화동),139.21,139.21,14,44,070-8125-8483,
168,중구,은행선화동,센트럴뷰아파트,중구 중앙로45(선화동),163.49,163.49,24,26,223-3378,
169,중구,목       동,방축골경로당,중구 목동로8번길 54-1 (목동),138,120.28,11,34,253-8106,
170,중구,목       동,목동경로당,중구 목중로39번길 10-1 (목동),195,164.41,19,35,222-7065,
171,중구,목       동,현대(아)경로당,중구 선화로43번길 29 (목동),75,56.7,20,30,252-7683,
172,중구,목       동,한사랑(아)경로당,중구 동서대로 1388 (목동),132.3,127.53,13,20,222-8655,
173,중구,목       동,목양마을(아)경로당,중구 목동로 37 (목동),187.13,187.13,24,47,223-2023,
174,중구,목       동,더샵아파트 경로당,중구 목동로22번길 16 (목동),117.7616,117.7616,13,30,254-9988,
175,중구,목       동,올리브힐아파트경로당,"중구 목동로70(목동,올리브힐아파트)",201.36,201.36,17,17,252-0333,
176,중구,중 촌 동,죽말경로당,중구 목중로70번길 15 (중촌동),504,132.5,31,15,253-2744,
177,중구,중 촌 동,무릉경로당,중구 대종로704번길 51 (중촌동),220.8,169.88,26,45,222-0647,
178,중구,중 촌 동,현대(아)경로당,중구 목중로26번길 29 (중촌동),96.95,96.95,8,44,252-4816,
179,중구,중 촌 동,금호(아)경로당,중구 대종로713(중촌동),144,144,12,33,252-8853,
180,중구,중 촌 동,장춘경로당,중구 동서대로 1455-15 (중촌동),179.8,119.15,22,25,254-5600,
181,중구,중 촌 동,시영(아)경로당,중구 대종로 701 (중촌동),50,50,1,21,226-3235,
182,중구,중 촌 동,금성백조(아)경로당,중구 중촌로 31 (중촌동),19.8,19.8,19,19,257-3062,
183,중구,중 촌 동,주공1단지(아)경로당,중구 목중로54번길10(중촌동),101.22,101.22,1,31,222-0846,
184,중구,중 촌 동,주공2단지(아)경로당,"중구 대전천서로 695 (중촌동, 주공아파트)",99.05,99.05,8,73,253-2270,
185,중구,중 촌 동,주공3단지(아)경로당,중구 목중로 69 (중촌동),97.02,97.02,20,40,256-7551,
186,중구,대 흥 동,대흥1경로당,중구 대흥로 157번길31(대흥동),"3,532",165.36,34,38,257-57447,
187,중구,대 흥 동,대흥2경로당,중구 충무로15번길 11 (대흥동)대흥동 240-50,192,131.78,9,28,242-6300,
188,중구,대 흥 동,대흥3경로당,중구 문창로119-32(대흥동),220.9,120.48,9,40,226-6669,
189,중구,대 흥 동,현대1차(아)경로당,중구 대흥로 176-15 (대흥동),99,99,4,27,253-5650,
190,중구,대 흥 동,현대2차(아)경로당,중구 보문로162번길 23 (대흥동),22,22,18,30,257-9073,
191,중구,대 흥 동,참좋은(아)경로당,중구 대종로 425 (대흥동),217.8,217.8,11,25,257-8006,
192,중구,대 흥 동,대흥동센트럴자이1단지,중구 충무로107번길100,308,137.8,17,21,221-3371,
193,중구,대 흥 동,대흥동센트럴자이2단지,중구 충무로107번길100,111.51,53.7,11,12,252-3370,
194,중구,문 창 동,문창1경로당,중구 대종로386번길69(문창동),582,153.24,22,29,254-2281,
195,중구,문 창 동,문창2경로당,중구 보문로20번길33(문창동),866.3,151.79,18,29,272-1452,
196,중구,석 교 동,문석경로당,중구 보문로19번길 42 (문창동),141.2,157.23,26,26,272-2551,
197,중구,석 교 동,장수경로당,중구 봉소루로36번길2,264,141.44,29,38,271-2798,
198,중구,석 교 동,석교경로당,중구 돌다리로7번길52,"2,702",231.44,16,39,284-5447,
199,중구,석 교 동,이화경로당,중구 돌다리로48번길 42 (석교동),159,84.39,13,33,274-3201,
200,중구,석 교 동,강변경로당,중구 대전천서로181번길 8 (석교동),184.6,94.3,2,44,285-3162,
201,중구,석 교 동,모암경로당,중구 모암로 27 (호동),141,84.48,25,25,272-1077,
202,중구,석 교 동,범골경로당,중구 범골로 98 (호동),148,82,14,17,271-4298,
203,중구,석 교 동,옥계경로당,중구 모암로 7번길 170,173,121.13,22,25,272-4287,
204,중구,석 교 동,재마루경로당,중구 모암로13번길154(옥계동),56,66,0,30,282-8080,
205,중구,석 교 동,학치경로당,중구 학고개로37번길18,129,125.78,21,32,272-5358,
206,중구,대 사 동,둥구나무경로당,중구 대종로62번길 29 (옥계동),181.3,148.36,14,30,284-1478,
207,중구,대 사 동,대신경로당,중구 솔밭로16번길8(대사동),172,116.67,8,44,221-2552,
208,중구,대 사 동,공원경로당,중구 보문산공원로497번길 14 (대사동),193,291.51,18,26,255-7536,
209,중구,대 사 동,계룡(아)경로당,중구 계룡로929번길 40 (대사동),104,104,7,29,253-6039,
210,중구,부 사 동,대사경로당,중구 충무로74번길 18(대사동),224.1,152.63,21,30,255-5069,
211,중구,부 사 동,보문경로당,중구 보문로89번길36(부사동),261,197.68,3,37,254-6224,
212,중구,부 사 동,부사경로당,중구 사득로75번길 58 (부사동),165,128.73,19,22,226-7338,
213,중구,부 사 동,칠석경로당,중구 부용로41번길37(부사동),"1,069",210.96,21,31,254-8972,
214,중구,부 사 동,청란경로당,중구 부용로34번길 19 (부사동),373,311.71,17,32,252-3720,
215,중구,용 두 동,충무경로당,중구 보문로48번길 58 (부사동),197.6,99.5,26,47,320-9011,
216,중구,용 두 동,용두1경로당,중구 선화로 8-9 (용두동),179.2,131.26,12,37,255-6476,
217,중구,용 두 동,호수당경로당,중구 선화로43번길 12 (용두동),160,55,21,26,254-8065,
218,중구,용 두 동,남부경로당,중구 용두로38번길 18 (용두동),175,199.04,26,76,257-8964,
219,중구,용 두 동,용두(아)경로당,중구 동서대로1340번길 15 (용두동),171.46,39.75,17,31,257-5466,
220,중구,용 두 동,용두2경로당,중구 어덕마을로10번길 79-16 (용두동),136.6,137,17,16,257-4740,
221,중구,용 두 동,미르마을(아)경로당,중구 선화로22번길 25 (용두동),373,373,23,34,242-8002,
222,중구,용 두 동,어덕마을경로당,중구 어덕마을로 9-16 (용두동),158.3,88.41,26,19,257-7403,
223,중구,오 류 동,늘푸른(아)경로당,중구 동서대로 1347 (용두동),33,25.74,13,27,255-3017,
224,중구,오 류 동,오류1경로당,중구 계룡로882번길 73 (오류동),202,139.4,12,17,533-3374,
225,중구,오 류 동,삼성1단지(아)경로당,중구 계룡로 852 (오류동),180.8,180.8,6,29,534-1933,
226,중구,오 류 동,삼성2단지(아)경로당,중구 계룡로 852 (오류동),180.8,180.84,19,30,527-0402,
227,중구,태평1동,오류2경로당,중구 계룡로816번길 42-11 (오류동),"1,527",94.08,9,20,526-3424,
228,중구,태평2동,태평1경로당,중구 유천로132번길 64 (태평동),"4,826",225.6,28,33,525-6446,
229,중구,태평3동,푸른뫼(아)경로당,중구 수침로 122 (태평동),80.67,80.67,13,15,535-7670,
230,중구,태평4동,태평(아)경로당,중구 평촌로 111 (태평동),190,190,11,24,535-4396,
231,중구,태평5동,유등마을(아)경로당,중구 수침로 138 (태평동),129.6,129.6,20,19,345-8522,
232,중구,태평2동,쌍용예가(아)경로당,중구 평촌로 93 (태평동),118.05,118.05,7,23,383-7113,
233,중구,태평3동,태평2경로당,중구 동서대로1207번길 53 (태평동),"4,771.20",203.37,19,25,524-7145,
234,중구,태평4동,삼부1단지(아)경로당,중구 태평로 80 (태평동),90.09,90.09,16,33,522-1035,
235,중구,태평5동,삼부2단지(아)경로당,중구 태평로 77 (태평동),98.82,98.82,24,17,534-1072,
236,중구,태평6동,삼부3단지(아)경로당,중구 태평로 65 (태평동),80,80,18,28,522-9131,
237,중구,태평7동,삼부4단지(아)경로당,중구 태평로 55 (태평동),90.25,90.25,14,23,527-2815,
238,중구,태평8동,삼부5단지(아)경로당,중구 태평로89(태평동),100,100,3,26,531-7605,
239,중구,태평9동,버드내1단지(아)경로당,중구 태평로 15 (태평동),350.22,350.22,52,78,536-9981,
240,중구,태평10동,버드내2단지(아)경로당,중구 태평로 35 (태평동),141.6,141.6,23,26,537-1488,
241,중구,태평11동,삼부새롬(아)경로당,중구 태평로 35 (태평동),75.81,75.81,14,19,345-2322,
242,중구,태평12동,파라곤(아)경로당,중구 유등천동로 428 (태평동,100.81,100.8,9,18,528-0422,
243,중구,유천1동,느티나무쉼터경로당,중구 유등천동로582번길 6 (태평동),189.1,100.81,18,25,525-6900,
244,중구,유천2동,유천1경로당,중구 당디로124번길 84-6 (유천동),75.15,112.58,8,24,585-0334,
245,중구,유천3동,유천2경로당,중구 계백로1508번길 11 (유천동),70.09,103.3,7,16,583-1462,
246,중구,유천4동,버드내경로당,중구 문화로99번길 5 (유천동),"2,459",79.2,22,38,582-3829,
247,중구,유천2동,중평경로당,중구 계백로1571번길 46-12 (유천동),2.397,132.03,12,28,526-8633,
248,중구,유천3동,육교경로당,중구 계백로1630번안길 6 (유천동),144.1,102.13,35,41,582-8363,
249,중구,유천4동,현대1차(아)경로당,중구 계백로1615번길 34 (유천동),172.9,172.94,12,33,532-2786,
250,중구,유천5동,현대2차(아)경로당,중구 계백로1615번길 56 (유천동,77.2,77.2,11,22,523-7531,
251,중구,유천6동,장미(아)경로당,중구 수침로 41 (유천동),34,34,14,13,531-9367,
252,중구,유천7동,하나(아)경로당,중구 태평로44번길 53 (유천동),48,48,7,24,522-1042,
253,중구,유천8동,남촌현대(아)경로당,중구 계백로 1643 (유천동),53.28,53.28,14,25,522-1043,
254,중구,유천9동,벽산 한사랑(아)경로당,중구 계백로1615번길 12 (유천동),22,22,12,18,535-7931,
255,중구,문화1동,선돌경로당,중구 유천로48번길34(유천동),331.6,197.22,20,39,581-1331,
256,중구,문화2동,삼화경로당,중구 계백로1660번길 26 (문화동),177,82.48,12,36,583-6958,
257,중구,문화3동,장수경로당,중구 서문로43번안길 20 (문화동),261,86.94,9,23,581-5224,
258,중구,문화4동,과례경로당,중구 보문산로310번길 42 (문화동),293,201.05,31,43,582-1514,
259,중구,문화5동,솥점말경로당,중구 보문산로369번길 37 (문화동),199,86.94,5,31,581-0035,
260,중구,문화6동,동산경로당,중구 문화로163번길 9 (문화동),195,73.35,14,28,585-5158,
261,중구,문화7동,한밭우성(아)경로당,"중구 서문로 32 (문화동,한밭우성아파트)",198.79,198.79,2,30,581-8155,
262,중구,문화8동,상아(아)경로당,중구 계백로1686번길 51 (문화동),46,46,11,19,221-5191,
263,중구,문화9동,계룡문화(아)경로당,중구 천근로69번길 114 (문화동),41.85,41.85,13,16,585-7951,
264,중구,문화10동,문화마을(아)경로당,중구 계백로1716번길 40 (문화동),106,106,20,23,345-0525,
265,중구,문화11동,문화경로당,중구 보문산로 321-2 (문화동),296,353.06,12,41,581-7870,
266,중구,문화12동,센트럴파크1단지(아)경로당,중구 서문로 95 (문화동),94.5,94.5,20,23,224-0122,
267,중구,문화13동,센트럴파크2단지(아)경로당,중구 서문로 96 (문화동),150.74,150.74,5,19,322-5232,
268,중구,문화14동,센트럴파크3단지(아)경로당,중구 계백로1716번길 87 (문화동),160.82,160.82,19,17,256-2211,
269,중구,문화15동,휴플러스보르미(아)경로당,중구 계백로1686번길 16 (문화동),34.17,34.17,13,17,581-3474,
270,중구,문화16동,문화로얄아파트 경로당,중구 서문로43번길39(문화동),58.62,58.62,14,23,581-1366,
271,중구,문화2동,평화아파트경로당,"중구 문화로163번길26(문화동,평화아파트)",26.04,26.04,13,25,582-5487,
272,중구,문화3동,주공1단지(아)경로당,중구 보문산로161번길 55 (문화동),106,106,10,43,585-7346,
273,중구,문화4동,주공2단지(아)경로당,"중구 산성로 108-24 (문화동,주공2차아파트)",385.8,118.8,8,22,585-9944,
274,중구,문화5동,주공3단지(아)경로당,"중구 산성로 108-23 (문화동,주공3차아파트)",135.63,135.63,4,25,584-5681,
275,중구,문화6동,삼성푸른(아)경로당,"중구 보문산로161번길 56 (문화동,삼성푸른아파트)",123.75,123.75,15,24,582-0145,
